ID,full_year_008,Date of publication(260_c_un_2641_c)
329097,1996,19--
329098,1996,19--
329102,1996,19--
329106,1996,19--
329234,1996,19--
329312,1996,19--
329313,1996,19--
329314,1996,19--
329316,1996,19--
329317,1996,19--
329320,1996,19--
329330,1996,19--
329331,1996,19--
329568,1996,19--
329578,1938,19--
329590,1939,19--
329666,1936,19--
329688,1936,19--
330025,1936,19--
330095,1936,19--
330244,1936,1978
330255,1982,19--
330257,1982,19--
330615,1932,1958
330616,1932,1957
330656,1988,1956
330753,1988,1959
330756,1988,1957
330758,1988,1959
330833,1969,19--
330847,1969,1957
330876,1988,1980
331077,1988,1966
331086,1988,1954
331202,1988,1934
331217,1988,19--
331222,1934,19--
331224,1934,1935
331229,1934,19--
331237,1934,1988
331243,1934,1988
331248,1979,1989
331256,1966,19--
331257,1966,19--
331259,1966,19--
331261,1966,19--
331415,1985,1929
331552,1936,19--
331554,1936,1958
331974,1936,19--
331978,1936,19--
331984,1936,19--
331988,1936,19--
331997,1936,1928
332008,1936,19--
332175,1936,19--
332179,1936,19--
332181,1936,19--
332188,1936,19--
332192,1936,19--
332196,1936,19--
332203,1937,1951
332212,1937,19--
332215,1937,1950
332365,1958,1934
332381,1934,1985
332485,1934,1951
332499,1934,19--
332509,1934,19--
332517,1934,19--
332528,1958,19--
332540,1958,19--
332542,1958,1988
332544,1958,1985
332554,1958,19--
332565,1958,1933
332568,1958,19--
332595,1958,19--
332601,1958,1984
333171,1958,19--
333190,1958,19--
333192,1992,1978
333193,1992,19--
333194,1992,1977
333195,1992,19--
333196,1992,1980
333553,1992,1940
333571,1992,19--
333574,1992,19--
333577,1992,1933
333591,1958,19--
334036,1939,19--
334041,1939,19--
334045,1939,1931
334052,1939,19--
334112,1938,19--
334145,1938,19--
334148,1938,19--
334149,1938,1962
334151,1938,19--
334156,1938,19--
334159,1938,19--
334164,1938,19--
334167,1938,19--
334169,1938,19--
334171,1938,19--
334420,1938,19--
334533,1938,19--
334549,1938,19--
334556,1938,1933
334558,1938,19--
334562,1938,19--
334566,1938,19--
334574,1938,19--
334591,1936,1933
334612,1936,19--
334619,1936,19--
334642,1936,19--
334662,1931,19--
334663,1931,19--
334664,1931,19--
334678,1931,1941
334680,1931,1937
334683,1931,19--
334686,1931,19--
334688,1931,1930
334691,1931,1929
334695,1931,19--
334699,1931,19--
334709,1939,19--
334712,1939,19--
334713,1939,19--
334716,1939,19--
334776,1939,19--
334780,1939,19--
334781,1939,1934
334782,1939,19--
334785,1939,19--
334786,1939,19--
334788,1939,1942
334790,1939,19--
334871,1939,19--
334872,1939,1934
334874,1939,1900
334878,1939,19--
334881,1939,19--
334882,1939,19--
334886,1939,19--
334888,1939,19--
334898,1928,19--
334917,2007,1935/1936
334962,1981,1984
334967,1981,19--
334987,1958,19--
335015,1955,19--
335019,1955,19--
335021,1955,19--
335039,1955,19--
335045,1955,19--
335059,1955,19--
335069,1955,1984
335363,1955,19--
335366,1955,19--
335420,1955,19--
335429,1955,19--
335847,1938,19--
335850,1938,izdošanas gads nav zināms
336156,1938,izdošanas gads nav zināms
336888,2007,200-
