ID,full_year_008,Date of publication(260_c_un_2641_c)
807661,1934,19--
807662,1934,19--
807663,1934,19--
807664,1934,19--
807667,1934,19--
807668,1934,19--
807671,1934,19--
808860,1984,2009
808888,1984,19--
809282,2001,"2005, 2001"
809371,2004,200-
809488,1974,1975
811519,2002,19--
811979,1973,19--
812011,1935,19--
812691,2006,193-
812819,1967,193-
814785,2016,19--
814996,1977,19--
814997,1977,19--
815028,1934,19--
815030,1934,19--
815088,1986,19--
815103,1973,19--
815104,1973,19--
815145,1938,19--
815179,1977,19--
816204,2012,2010
818158,1906,19--
821079,2015,2016
821610,2009,2012
821676,2008,"2016, 2008"
822037,2009,"2016, 2009"
822601,2007,19--
823370,1924,19--
823372,1924,19--
823619,2016,2014
823661,2009,2011
823865,1934,193-
825224,1935,19--
825233,1970,1940-1941
825234,1970,19--
825269,1949,19--
825275,1968,19--
825305,1938,1939
825306,1938,19--
827471,1938,19--
827554,1937,19--
827559,1937,19--
827561,1924,19--
827562,1924,19--
827581,1924,19--
827586,1973,19--
828796,2016,19--
828853,2016,19--
831698,2007,2004
832072,2014,19--
832387,1933,19--
832390,1969,19--
832391,1969,19--
832394,1903,19--
832397,1903,19--
832404,1962,19--
832429,1973,19--
832433,1973,19--
832435,1955,19--
832437,1974,192-
832444,1973,19--
832460,1911,197-
832958,2016,19--
833618,2015,20--
833630,2015,20--
833632,2015,20--
833637,2015,20--
833666,2015,20--
833672,2015,20--
833677,2016,20--
833684,2016,20--
834857,2016,19--
834908,2014,19--
836064,1936,19--
836066,1936,19--
836067,1936,19--
836073,1973,19--
836074,1973,19--
836076,1973,19--
836077,1973,19--
836078,1973,19--
836087,1905,19--
836089,1905,19--
836093,1905,19--
836096,1955,19--
836109,1951,19--
836113,1968,19--
836119,1968,19--
836121,1968,19--
836135,1988,19--
836136,1988,19--
836141,1970,19--
836148,1970,19--
836167,1987,199-
836195,1983,19--
836224,1983,19--
836233,1983,19--
836250,1985,19--
837459,2014,20--
837531,2012,20--
837603,2010,20--
837653,2014,20--
840754,2016,19--
840756,2016,192-
840896,2016,19--
840897,2016,19--
840899,2016,19--
840932,1935,19--
840935,1940,19--
840936,1940,19--
840944,1940,19--
840945,1940,19--
840946,1940,19--
840952,1940,19--
840959,1939,19--
840960,1939,19--
840986,1988,19--
840987,1988,19--
840990,1939,19--
840995,1940,19--
840998,1932,19--
841000,1932,19--
841001,1932,19--
841003,1932,19--
841004,1932,19--
841010,1988,19--
841011,1988,19--
841015,1940,19--
841486,2014,2007
841498,2009,2008
843608,1812,20--
848619,1908,19--
848622,1995,19--
848897,1937,19--
848900,1971,19--
848912,1969,19--
848923,1981,19--
848930,1985,19--
848980,1981,19--
848982,1981,19--
848984,1981,19--
848985,1981,19--
848993,1923,19--
848994,1923,19--
848995,1923,19--
848996,1923,19--
848998,1923,1---
848999,1923,19--
849002,1925,19--
849003,1925,19--
849010,1903,19--
849013,1903,19--
849016,1890,1899
849022,1903,19--
849024,1903,19--
849027,1893,1924
849028,1893,19--
849033,1893,19--
849035,1893,19--
849037,1934,19--
849038,1934,19--
849040,1934,19--
849042,1934,19--
849044,1903,19--
849046,1903,19--
849047,1903,19--
849052,1935,18--
849053,1935,19--
849054,1935,19--
849057,1903,19--
849060,1982,19--
849063,1982,19--
849076,1982,19--
849123,2017,19--
849133,2017,19--
849208,2017,19--
849225,2017,19--
850503,1975,19--
850524,1964,1945-1948
850535,1972,1958
850547,1958,1961
850557,1949,19--
850567,1968,19--
850569,1970,1953
850644,1972,19--
850649,1968,19--
850651,1968,19--
850697,2017,"2016, 2017"
852212,1978,19--
852214,1978,19--
852216,1978,19--
852217,1978,19--
852221,1978,19--
852223,1978,19--
852292,1978,193-
852294,1978,19--
852513,1925,19--
852514,1925,19--
852517,1937,19--
852523,1937,19--
852524,1937,19--
852551,1937,19--
853517,2017,201-
854257,2017,19--
854266,2017,19--
854330,2017,19--
854348,2017,19--
854351,2017,19--
854392,1988,19--
855340,1974,19--
855341,1974,19--
855342,1974,19--
855343,1974,19--
855344,1974,izdošanas gads nav zināms
856102,1974,193-
856104,1974,193-
857324,1930,19--
857336,1930,19--
857337,1930,19--
857340,1930,19--
857357,1929,19--
857359,1939,19--
857363,1939,19--
857386,1988,19--
857398,1898,19--
857409,1971,19--
857519,1982,19--
857520,1982,19--
857523,1990,19--
857524,1990,19--
857525,1990,19--
857526,1990,19--
857527,1990,19--
857656,2013,19--
858515,2013,19--
858908,1967,19--
859838,1968,19--
860074,1972,1971
860479,1962,19--
860525,1962,19--
860529,1962,19--
860718,1971,19--
860932,1960,19--
860938,1962,19--
860956,1943,19--
860959,1951,19--
861047,1957,19--
861209,1923,19--
861430,1943,19--
861434,1943,19--
861520,1943,19--
861772,1943,19--
862164,1904,19--
862180,1934,19--
862191,1944,19--
862192,1944,19--
862216,1990,19--
862222,1989,19--
862230,1929,19--
862231,1929,19--
862233,1929,19--
862237,1927,19--
862258,1920,19--
862259,1920,19--
862739,1935,19--
863386,2017,19--
863865,2017,19--
863866,2017,19--
864546,1942,19--
864563,1942,19--
866368,1991,19--
867700,2017,19--
868228,2017,201-
868254,2017,2014
868986,1997,19--
870042,1912,1904
870248,1976,1978
871390,2008,2012
873174,2017,19--
874306,2008,19--
874309,2008,19--
874875,2015,2017
876331,1987,193-
879343,1988,19--
879401,1988,19--
879764,1957,19--
882587,1989,19--
884224,1974,192-
887342,2017,19--
887366,2017,19--
887368,2017,19--
887484,1984,19--
887532,1984,19--
887545,1981,19--
887563,1930,19--
887564,1930,19--
887583,1979,19--
887597,1981,19--
887599,1981,19--
887603,1981,19--
887616,1984,19--
887700,1998,19--
887702,1984,19--
887734,1981,19--
887759,1988,19--
887773,1983,19--
887781,1965,19--
887792,1970,19--
887828,1986,19--
887829,1986,19--
887848,1981,19--
887852,1976,19--
887900,1971,19--
887935,1970,19--
887941,1938,19--
887942,1938,19--
887943,1938,19--
887944,1938,193-
887946,1938,19--
887947,1938,19--
887948,1938,19--
887949,1938,19--
887950,1938,19--
887952,1938,19--
887953,1938,19--
887955,1938,19--
887956,1938,19--
887960,1939,19--
887961,1939,19--
887962,1939,19--
887963,1939,19--
887966,1936,19--
887967,1936,19--
887969,1936,19--
887970,1936,19--
887971,1936,19--
887973,1936,19--
887976,1966,19--
887977,1966,19--
887978,1966,19--
887979,1966,19--
887980,1966,19--
887982,1966,19--
887986,1968,19--
887988,1938,19--
887991,1941,19--
887993,1980,19--
887996,1980,19--
887997,1980,19--
887999,1980,19--
888001,1980,19--
888002,1980,19--
888007,1940,19--
888013,1971,19--
888014,1971,19--
888015,1971,19--
888016,1971,19--
888019,1971,19--
888020,1971,19--
888024,1938,19--
888028,1938,19--
888031,1969,19--
888040,1969,19--
888041,1969,19--
888043,1938,19--
888045,1938,19--
888050,1949,19--
888054,1967,19--
888055,1967,19--
888060,1940,19--
888061,1940,19--
888065,1940,19--
888069,1940,19--
888071,1940,193-
888072,1940,19--
888076,1949,193-
888077,1949,19--
888081,1949,1910
888083,1949,19--
890789,1994,19--
892408,1980,19--
893463,1867,192-
893468,1867,19--
893490,1940,"1940, 1939"
893492,1938,19--
893948,2018,19--
900044,2018,19--
901053,2018,19--
901055,2018,19--
901057,2018,19--
901871,1983,"1925, 1926"
902358,1925,19--
902359,1925,19--
902365,1903,1901-1903
902435,1968,19--
902440,1972,19--
902453,1966,19--
902455,1966,19--
902464,1966,19--
902465,1966,19--
902466,1966,19--
902469,1937,19--
902470,1937,19--
902471,1937,19--
902472,1937,192-
905565,1972,19--
905567,1972,19--
905569,1972,19--
905571,1933,19--
905578,1934,19--
905587,1968,19--
905588,1968,19--
905589,1968,19--
905590,1968,19--
905591,1968,19--
905601,1964,19--
905621,1964,19--
907543,1976,1954
908233,1982,19--
908887,1969,19--
909362,1967,192-
909398,1967,192-
909495,1978,192-
910224,1876,19--
910829,1933,19--
911881,1904,19--
911898,1948,19--
911956,1965,1981
911960,1967,19--
911987,1989,19--
912459,1899,192-
912471,1899,19--
912474,1899,19--
912475,1899,19--
912766,1913,192-
912772,1913,19--
913538,2018,192-
913784,1939,193-
913789,1939,19--
913792,1939,193-
913991,1943,192-
913994,1943,192-
913997,1943,192-
914008,1943,192-
914026,1943,192-
914030,1943,19--
914038,1943,192-
914051,1943,19--
914055,1943,192-
914059,1943,19--
915253,2007,19--
915257,2007,19--
915263,2007,192-
915267,2007,19--
915273,2007,192-
915277,2007,192-
915279,2007,19--
915284,2007,19--
915290,2007,19--
915294,2017,192-
915906,2006,193-
916168,2006,19--
916180,2006,192-
916452,1893,19--
916453,1893,19--
916454,1893,19--
916455,1893,19--
916595,1893,19--
916596,1893,19--
916946,2018,19--
916954,2018,19--
916959,2018,19--
916962,2018,19--
916965,2018,19--
917052,2018,19--
917062,2018,19--
917549,1981,19--
917596,1969,19--
917604,1983,19--
917607,1975,1977
917614,1982,19--
917621,1968,19--
917634,1984,19--
917664,1982,19--
917675,1950,19--
920051,1876,19--
920271,2013,19--
920877,1939,19--
920881,1939,19--
920882,1939,19--
920894,1943,19--
920902,1940,19--
920918,1982,19--
920999,1986,19--
921000,1986,19--
921008,1986,19--
921009,1986,19--
921010,1986,19--
921012,1937,19--
921013,1937,19--
921014,1937,19--
921015,1937,19--
921016,1937,19--
921017,1937,19--
921018,1937,19--
921019,1937,19--
921020,1937,19--
921028,1983,19--
921062,1902,19--
921068,1940,19--
921073,1914,19--
921110,1995,19--
921111,1995,19--
921113,1995,19--
921117,1995,19--
921118,1995,19--
921119,1995,19--
921120,1995,19--
921121,1995,19--
921126,1995,19--
921130,1995,19--
921134,1995,19--
921140,1995,19--
921141,1995,19--
921142,1995,19--
921144,1995,19--
921146,1995,19--
921150,1995,19--
921151,1995,19--
921153,1995,19--
922535,1934,19--
922913,1924,19--
923157,1924,19--
923221,1924,19--
923223,1924,192-
924582,1984,1985
925133,1984,19--
925165,1984,19--
925178,1984,19--
925799,1984,19--
926219,1984,19--
927123,1987,18--
928605,1894,18--
928612,1903,19--
928657,1933,190-
928660,1933,190-
928665,1933,190-
928674,1933,190-
928688,1933,190-
928693,1933,190-
928976,1902,19--
929016,1902,19--
929022,1902,19--
929041,1902,19--
929051,1902,19--
929055,1902,19--
929062,1902,19--
929077,1902,19--
929098,1902,19--
929181,1902,19--
929190,1902,19--
929192,1902,19--
929193,1902,19--
929287,1902,19--
929293,1902,19--
929303,1902,19--
929318,1902,19--
929325,1902,19--
929329,1902,19--
929531,1923,19--
930246,1876,19--
930387,1876,19--
930412,1876,19--
930532,1943,192-
930557,1943,19--
931902,1943,19--
931903,1943,19--
931910,1873,19--
931911,1873,19--
931912,1873,19--
931914,1873,19--
931915,1873,19--
931916,1873,19--
931918,1873,19--
931919,1873,19--
931920,1873,19--
931922,1892,19--
931926,1892,18--
931947,1988,19--
931978,1939,19--
931995,1988,193-
932005,1988,192-
932006,1988,193-
932007,1988,19--
932011,1942,19--
932015,1921,19--
932018,1921,19--
932019,1921,19--
932022,1921,19--
932023,1921,19--
932031,1960,19--
932032,1960,19--
932033,1960,19--
932034,1960,19--
932035,1960,19--
932036,1960,19--
932037,1960,19--
932038,1960,19--
932039,1960,19--
932044,1957,19--
932053,1943,19--
932054,1943,19--
932055,1943,19--
932058,1985,19--
932084,1961,19--
932085,1961,19--
932092,1938,193-
932094,1912,19--
932095,1912,19--
932096,1912,19--
932097,1912,19--
932098,1912,19--
932099,1912,19--
932100,1912,19--
932101,1912,19--
932102,1912,19--
932103,1912,19--
932104,1912,19--
932106,1938,19--
932107,1938,19--
932109,1938,19--
932110,1938,19--
932111,1938,19--
932112,1938,19--
932113,1938,19--
932115,1938,1942-1943
932116,1938,1934-1935
932119,1938,19--
932120,1938,19--
932121,1938,19--
932124,1943,19--
932125,1943,19--
932126,1943,19--
932127,1943,19--
932129,1943,19--
932131,1943,19--
932132,1943,19--
932134,1942,19--
932136,1938,19--
932138,1943,19--
932140,1943,19--
932148,1931,19--
932150,1931,19--
932152,1931,18--
932156,1860,19--
932779,1810,193-
932783,1810,19--
934922,1909,192-
937098,1896,19--
937451,1924,1925
937456,1942,19--
937511,1943,19--
937769,1943,190-
937823,1943,19--
938102,1899,19--
941115,1949,19--
941116,1949,193-
941118,1949,1940
941127,1940,19--
941131,1940,19--
941134,1943,19--
941136,1943,19--
941137,1943,19--
941161,1970,19--
941192,1990,19--
941218,1938,1935
941219,1938,193-
941220,1938,19--
941222,1940,19--
941223,1940,19--
941224,1940,19--
941226,1897,19--
941247,1958,19--
941248,1958,19--
941249,1958,19--
941305,1980,19--
941322,1985,19--
941344,1942,19--
941367,1976,19--
941369,1924,19--
941370,1924,19--
943547,1942,1926/1927
943731,1894,18--
944554,1933,193-
944664,1928,193-
944669,1928,192-
944679,1932,193-
944681,1932,193-
947067,1921,19--
947631,2019,19--
947636,2019,19--
947640,2019,19--
949768,1932,"1931, 193-"
949770,1932,19--
951149,2018,2008
951253,2013,2008
953739,1980,19--
954655,1829,19--
954664,1829,19--
954706,1938,19--
954720,1936,19--
954723,1936,19--
954730,1950,19--
956986,1974,1976
960565,2006,19--
960568,2006,19--
960615,1936,19--
960616,1936,19--
960617,1936,19--
960618,1936,19--
960689,1935,19--
960705,1927,1925
960707,1927,192-
960720,1936,1925/26
960722,1936,1925/26
960728,1927,193-
960731,1927,193-
960749,1932,1933
960753,1935,19--
960758,1936,192-
960814,1932,19--
960835,1937,19--
960842,1938,19--
960852,1927,19--
960854,1927,19--
960857,1927,19--
960858,1927,19--
960860,1927,19--
960862,1927,1926/1927
960863,1927,19--
960865,1927,19--
960882,1927,193-
960901,1932,19--
960904,1932,19--
960906,1932,19--
960909,1932,192-
960915,1933,"1925, 1926"
960921,1929,1925/26
960928,1929,19--
960932,1923,19--
960936,1927,19--
960937,1927,1925/1926
960956,1932,"1932, 1938"
960958,1932,19--
960959,1932,19--
960968,1930,192-
961013,1938,19--
961018,1938,19--
961024,1938,1926/1927
961042,1924,19--
961106,1925,19--
961110,1925,19--
961111,1925,19--
961113,1925,19--
961171,1934,19--
961422,1973,19--
961424,1921,19--
961430,1988,19--
961439,1988,19--
961442,1988,19--
961444,1968,19--
961447,1904,19--
961449,1904,19--
961450,1904,19--
961451,1904,19--
961453,1904,"1892, 1897"
961454,1904,19--
961459,1974,1973
961460,1974,19--
961482,1981,19--
961483,1981,19--
961485,1926,19--
961807,1929,19--
963440,1927,19--
963445,1927,19--
963854,1925,192-
963870,1925,193-
963880,1925,19--
963978,1925,19--
964421,1927,19--
964422,1927,"1924, 1925"
964423,1927,19--
964424,1927,19--
966438,1932,izdošanas gads nav zināms
967307,1927,19--
967309,1925,19--
967310,1925,19--
968037,1932,1925/26
968372,1861,19--
968379,1972,19--
968387,1984,19--
968388,1984,19--
968390,1984,19--
968391,1984,19--
968392,1984,19--
968397,1984,19--
968398,1984,19--
968412,1921,19--
968413,1921,19--
968415,1921,19--
968416,1921,19--
968417,1921,19--
968419,1921,19--
968421,1921,19--
968422,1921,19--
968424,1894,19--
968426,1894,19--
968429,1894,19--
968430,1894,19--
968432,1894,1984
968446,1982,19--
968459,1988,1936
973563,1923,2020
975284,2018,19--
975287,2018,19--
975298,2018,19--
975309,2018,19--
975318,2018,19--
975468,1932,19--
975470,1925,1925/26
975565,1924,19--
975567,1974,19--
975568,1974,19--
975574,1988,19--
975582,1962,1958
975611,1988,19--
975618,1986,19--
975786,1988,19--
976772,1988,19--
976778,1988,19--
976787,1988,19--
976788,1988,19--
976792,1988,19--
976793,1988,19--
977126,2019,19--
977249,1932,19--
977265,1932,19--
977325,1932,19--
977350,1932,1929/30
977354,1932,19--
977357,1929,1929 vai 1930?
977444,1929,19--
977450,1929,192-
977454,1929,19--
977457,1929,19--
977466,1929,1924/25
977479,1932,19--
977492,1932,19--
977724,1932,19--
977736,1933,19--
977746,1927,19--
977752,1927,19--
977966,1932,19--
977982,1932,19--
977988,1932,19--
978002,1932,19--
978007,1932,19--
978011,1932,19--
978012,1932,19--
978021,1932,19--
978025,1932,19--
978026,1932,19--
978037,1932,193-
978040,1932,19--
978048,1932,19--
978056,1932,19--
978059,1932,193-
978066,1932,193-
978075,1932,19--
978085,1929,19--
978291,1933,19--
978296,1933,1925/26
978310,1925,1929/30
978313,1925,19--
978328,1925,1925/26
978334,1925,19--
978355,1927,19--
978364,1927,1925/1926
978376,1924,1925/1926
978392,1924,19--
978396,1924,19--
978402,1928,19--
978637,1928,19--
979123,2020,19--
979805,1912,19--
979824,1966,19--
979849,1973,19--
979850,1973,19--
979859,1973,19--
979861,1969,19--
979870,1988,19--
979880,1941,19--
979889,1968,19--
979891,1988,19--
979898,1913,19--
979899,1913,19--
979905,1922,19--
979906,1922,19--
979907,1922,19--
979908,1922,19--
979911,1921,19--
980834,1911,193-
980865,1925,19--
980869,1925,19--
980872,1925,19--
981019,1925,19--
981044,1928,19--
981053,1928,19--
981121,1928,19--
981129,1928,19--
981146,1925,19--
981153,1925,19--
981183,1925,19--
981197,1925,19--
981204,1925,19--
981265,1925,19--
981267,1925,19--
981323,1933,19--
981334,1935,19--
981335,1935,19--
981337,1935,19--
981341,1935,19--
981383,1935,1926/1927
981396,1935,19--
981604,1927,19--
981609,1927,19--
981612,1927,19--
981617,1927,19--
981626,1933,19--
981806,1924,1929/30
981809,1924,1924/25
981816,1939,19--
981833,1925,1925/26
981850,1928,192-
981853,1928,19--
981862,1928,19--
981874,1925,19--
981882,1925,19--
981900,1927,1924/1925
981908,1927,19--
981915,1927,19--
981921,1927,19--
981936,1938,191-
981941,1938,19--
981942,1938,19--
981952,1942,19--
981963,1939,19--
981965,1939,19--
981973,1932,19--
981974,1932,19--
981976,1932,1925/26
981979,1932,19--
981995,1931,1925/26
981996,1931,19--
981998,1931,19--
981999,1931,19--
982618,1939,19--
982905,1932,19--
983257,1921,19--
983260,1939,19--
983264,1988,19--
983280,1914,19--
983289,1988,19--
983298,1984,19--
983304,1979,19--
983311,1969,19--
983313,1939,19--
983322,1985,19--
983324,1985,19--
983326,1985,19--
983328,1972,19--
983343,1966,19--
983345,1968,19--
983346,1968,19--
983350,1984,19--
983358,1956,19--
983359,1956,19--
983364,1943,19--
983369,1942,19--
983370,1942,19--
983371,1942,19--
983374,1964,19--
983385,1962,19--
983391,1951,19--
983392,1951,19--
983394,1951,19--
983405,1983,19--
983416,1949,1990
983426,1988,19--
983439,1985,19--
983453,1984,19--
983457,1979,19--
983458,1979,19--
983460,1978,19--
983477,1956,19--
983479,1960,19--
983481,1958,19--
983495,1975,1962
985144,1928,19--
985213,1924,19--
985293,1931,192-
985302,1931,192-
986159,1972,192-
987286,1987,19--
987314,1971,19--
987317,1971,19--
987318,1971,19--
987319,1971,19--
987325,1971,19--
987326,1971,19--
987328,1913,19--
987331,1912,19--
987332,1912,19--
987343,1981,19--
987344,1981,19--
987345,1981,19--
987362,1977,19--
987377,1954,19--
987399,1926,19--
988224,1949,19--
988239,1934,192-
988669,1934,19--
988671,1934,19--
989504,1943,19--
989505,1943,19--
989507,1888,19--
989508,1888,19--
991596,1978,19--
991609,1943,19--
991617,1953,19--
991619,1953,19--
991620,1953,19--
991630,1972,19--
991639,1981,19--
991640,1981,19--
991641,1981,19--
991642,1981,19--
991643,1981,19--
991680,1972,19--
991696,1943,19--
991698,1957,19--
991700,1957,19--
991725,1970,19--
991900,1934,18--
996530,1965,19--
996554,1964,19--
996642,1947,193-
996677,1965,193-
997912,2009,19--
1000220,1839,19--
1000302,1898,188-
1000303,1898,19--
1000305,1898,19--
1000308,1840,19--
1000310,1840,19--
1000599,1995,19--
1002680,1913,191-
1006509,1887,193-
1006510,1887,193-
1008210,1931,19--
1008317,1968,19--
1008320,1939,19--
1008323,1939,1935
1008326,1886,19--
1008328,1886,19--
1008336,1886,19--
1008347,1971,19--
1008350,1961,19--
1008356,1932,19--
1008359,1932,19--
1008626,1973,19--
1008627,1973,19--
1008631,1968,19--
1008907,1949,19--
1008910,1949,19--
1008994,1991,19--
1009039,1873,19--
1009146,1873,19--
1009148,1873,19--
1009312,1936,19--
1009318,1982,19--
1009430,1982,1981
1009462,1978,19--
1009669,1982,19--
1009678,1948,19--
1010379,1926,19--
1010385,2020,19--
1010391,1910,19--
1010400,1932,19--
1013153,1979,19--
1013447,1979,190-
1013450,1982,19--
1013453,1966,19--
1013454,1966,19--
1013457,1952,19--
1013767,1931,193-
1013768,1931,193-
1013771,1931,193-
1013772,1931,193-
1021113,2012,2011
1025934,1906,19--
1025942,1939,19--
1025944,1939,19--
1026022,1925,19--
1026113,1913,190-
1026202,1939,19--
1026206,1983,19--
1026384,1993,19--
1026453,1890,19--
1026458,1979,19--
1026460,1974,19--
1026474,1943,19--
1026475,1943,19--
1026652,1966,19--
1026666,1959,19--
1026783,1935,19--
1026806,1940,19--
1026810,1940,19--
1026816,1940,19--
1026844,1832,1932
1026861,1966,1965
1026864,1966,19--
1026867,1966,19--
1026868,1966,19--
1026878,1929,1912
1026881,1948,19--
1032126,1973,19--
1032199,1936,1896-1901
1032305,1927,19--
1032320,1887,19--
1032321,1887,192-
1032323,1887,19--
1032325,1887,192-
1032332,1982,19--
1032333,1982,1959
1032374,1910,19--
1032381,1970,19--
1032385,1879,19--
1032386,1879,19--
1032401,1879,19--
1032556,1879,19--
1032559,1879,19--
1032757,1975,19--
1032806,1975,19--
1032964,1912,19--
1033077,1988,19--
1033079,1988,19--
1033097,1988,19--
1033109,1988,19--
1033115,1949,192-
1033139,1949,19--
1033157,1986,19--
1033183,1935,192-
1033188,1939,193-
1033291,1922,19--
1033295,1967,19--
1033301,1967,19--
1033329,1939,19--
1033333,1939,19--
1033339,1970,19--
1033340,1970,19--
1033341,1970,19--
1033348,1970,193-
1033359,1977,19--
1033363,1932,19--
1033368,1932,19--
1036730,2019,19--
1036758,1930,189-
1038633,1930,19--
1042032,1868,1968
1042059,1958,19--
1042071,1975,1912
1042588,1928,19--
1042599,1932,19--
1042610,1939,19--
1042613,1940,19--
1042817,1984,19--
1042845,1970,19--
1042847,1970,19--
1042853,1985,19--
1042873,1980,19--
1042882,1941,19--
1042884,1941,19--
1042948,1971,19--
1042951,1971,1922
1042958,1935,19--
1042974,1998,19--
1042977,1938,19--
1042991,1911,19--
1043156,1967,19--
1043166,1965,19--
1043169,1940,19--
1043172,1972,19--
1043195,1959,19--
1043196,1959,19--
1043198,1962,19--
1043199,1962,19--
1043201,1962,19--
1043209,1968,19--
1043318,1930,19--
1043320,1930,19--
1049306,2021,19--
1049349,2021,19--
1049350,2021,19--
1049662,2021,19--
1050332,2021,19--
1050356,2021,19--
1053610,2005,19--
1054235,2021,19--
1054773,2021,192-
1056977,1984,19--
1056989,1979,19--
1057085,1950,19--
1057086,1950,19--
1057089,1902,1910
1057127,1981,19--
1057134,1913,19--
1057139,1886,19--
1057145,1988,19--
1057607,1985,19--
1057609,1985,19--
1058351,1850,19--
1058423,2021,19--
1058440,2021,19--
1058443,2021,19--
1058566,2021,193-
1058800,2013,19--
1058801,2013,19--
1059026,2013,19--
1059633,1949,19--
1063695,2021,19--
1063712,1967,19--
1063961,1967,19--
1063971,1967,19--
1063974,1967,19--
1063985,1967,19--
1064043,1967,19--
1064054,1967,19--
1064072,1967,19--
1065725,1981,1---
1065917,1985,19--
1065919,1985,19--
1065920,1985,19--
1065923,1985,19--
1065925,1985,19--
1065927,1985,19--
1065930,1985,19--
1065932,1985,19--
1065935,1985,19--
1065937,1985,19--
1065940,1891,19--
1065942,1891,19--
1065973,1891,19--
1065974,1891,19--
1065975,1891,19--
1065983,1891,19--
1065984,1891,19--
1065985,1891,19--
1065990,1891,19--
1065991,1891,19--
1065992,1891,19--
1065993,1891,19--
1065994,1891,19--
1065997,1891,19--
1065999,1891,19--
1066002,1891,19--
1066006,1891,19--
1066008,1891,19--
1066010,1891,19--
1066051,1891,19--
1066052,1891,19--
1066054,1891,19--
1066055,1891,19--
1066057,1891,19--
1066079,1891,19--
1066087,1891,19--
1066088,1891,19--
1066097,1891,19--
1066103,1937,18--
1066105,1937,19--
1066274,1937,19--
1066302,1937,19--
1066308,1937,19--
1066368,1981,19--
1066369,1981,1---
1066373,1895,1---
1066376,1901,1---
1066392,1979,192-
1066393,1979,19--
1066394,1979,19--
1066396,1969,193-
1066510,1981,1---
1066512,1981,19--
1066514,1981,1---
1066568,1940,193-
1066569,1940,193-
1066571,1940,19--
1066572,1940,19--
1066657,1940,19--
1066674,1938,1---
1066675,1938,1---
1066676,1899,1---
1066677,1899,1---
1066692,1897,1---
1066693,1897,1---
1066715,1942,19--
1066724,1942,1---
1066725,1942,19--
1066726,1942,19--
1066727,1942,19--
1066728,1942,19--
1066729,1942,19--
1066730,1942,19--
1066739,1981,19--
1066741,1958,19--
1066747,1958,19--
1066749,1958,19--
1066750,1958,19--
1067053,2015,19--
1067235,2015,19--
1067239,2015,19--
1067241,2015,19--
1067245,2015,19--
1067249,2015,19--
1067275,2015,19--
1067277,2015,19--
1067279,2015,19--
1067281,2015,19--
1067286,2015,19--
1067288,2015,19--
1067291,2015,19--
1068389,1912,19--
1068391,1912,19--
1068394,1912,19--
1068407,1912,19--
1068409,1912,19--
1068411,1912,19--
1068414,1912,19--
1068415,1912,19--
1068429,1912,19--
1068430,1912,19--
1068444,1912,19--
1068527,2021,192-
1069204,2021,19--
1069206,2021,19--
1069215,1940,19--
1069220,1940,19--
1069223,1940,19--
1069247,1935,19--
1069250,1890,19--
1069342,1890,191-
1069354,1890,19--
1069364,1890,19--
1069827,2021,19--
1069829,2021,19--
1069831,2021,19--
1069833,2021,19--
1069834,2021,19--
1069836,2021,19--
1069837,2021,19--
1069839,2021,19--
1069841,2021,19--
1069844,2021,19--
1069847,2021,19--
1069848,2021,19--
1069850,2021,19--
1069858,1941,19--
1069860,1941,19--
1069880,1941,izdošanas gads nav zināms
1069884,1941,19--
1069892,1941,19--
1070278,2020,19--
1070295,1941,19--
1070346,1903,19--
1070584,1922,192-
1070585,1922,192-
1070657,1945,1946
1070675,1958,19--
1070703,1981,19--
1070742,1901,19--
1070744,1901,19--
1070750,1946,19--
1070751,1946,19--
1070754,1946,19--
1070755,1946,19--
1070757,1946,19--
1070760,1946,19--
1070762,1946,19--
1070763,1946,19--
1070764,1946,19--
1070765,1946,19--
1070853,1946,19--
1071246,1931,19--
1071253,1931,19--
1071257,1931,19--
1071269,1894,18--
1071272,1894,19--
1071277,1894,19--
1071281,1894,19--
1071282,1894,19--
1071284,1894,19--
1071292,1888,19--
1071295,1888,19--
1071331,1905,19--
1071333,1905,19--
1071334,1905,19--
1071346,1859,19--
1071367,1903,19--
1071370,1903,19--
1071371,1903,19--
1071376,1903,19--
1071379,1903,19--
1071381,1903,19--
1071382,1903,19--
1071424,1903,192-
1071430,1903,192-
1071432,1903,192-
1071433,1903,192-
1071443,1903,19--
1071444,1903,19--
1071445,1929,19--
1071503,1944,19--
1071504,1944,19--
1071508,1944,19--
1071511,1944,19--
1071513,1944,19--
1071517,1944,19--
1071518,1944,19--
1071523,1944,19--
1071526,1944,19--
1071536,1944,19--
1071538,1944,19--
1071574,1912,19--
1071576,1971,19--
1071587,1971,19--
1071592,1971,19--
1071595,1971,19--
1071596,1971,19--
1071599,1971,19--
1071600,1971,19--
1071623,1971,189-
1071651,1971,19--
1071653,1971,19--
1071655,1971,19--
1071656,1971,19--
1071657,1971,19--
1071779,1982,19--
1071782,1982,19--
1071819,1948,19--
1071858,1948,19--
1071863,1881,19--
1071864,1881,19--
1071868,1881,19--
1071869,1881,19--
1072077,1945,19--
1072078,1945,19--
1072079,1945,19--
1072080,1945,19--
1072830,1982,19--
1073222,2021,19--
1073228,1982,19--
1073229,1982,19--
1073239,1982,19--
1073244,1982,19--
1073245,1982,19--
1073247,1982,19--
1073248,1982,19--
1073250,1982,19--
1073252,1982,19--
